,Date,ID,Symbol,market_cap,simp_move_avg_market_cap,simp_move_std_market_cap
16,2021-01-17,litecoin,ltc,9564493948.54912,9765149479.715391,811416783.0358386
16,2021-01-17,ripple,xrp,12752821363.443005,13431698052.824774,627090095.6334172
16,2021-01-17,solana,sol,904006570.0309956,886813706.1310174,43720444.51992197
17,2021-01-18,bitcoin,btc,672291934493.4396,678687189520.9336,30682595932.28835
17,2021-01-18,bitcoin_cash,bch,0.0,0.0,0.0
17,2021-01-18,cardano,ada,11944120204.049416,9876261915.429974,1183639897.9056418
17,2021-01-18,ethereum,eth,142087383372.707,132614429805.65054,8705755572.66859
17,2021-01-18,litecoin,ltc,9516266561.26863,9502763349.54336,410127659.6583765
17,2021-01-18,ripple,xrp,12608874407.39614,13162806741.44673,484426059.75898343
17,2021-01-18,solana,sol,1017470477.7839756,901833708.9405364,66219014.8549661
18,2021-01-19,bitcoin,btc,682647247200.097,681439525002.5182,29935770762.079464
18,2021-01-19,bitcoin_cash,bch,0.0,0.0,0.0
18,2021-01-19,cardano,ada,11556220463.724558,10303251213.90192,1171796963.2807794
18,2021-01-19,ethereum,eth,143378258827.21744,135278611298.6763,8743910910.051441
18,2021-01-19,litecoin,ltc,10083146649.993534,9620908829.949753,444884933.24248046
18,2021-01-19,ripple,xrp,12954366484.188166,13122147745.273306,488890687.2779885
18,2021-01-19,solana,sol,987108914.5515286,926098058.9809223,60974483.010947704
19,2021-01-20,bitcoin,btc,671734819189.1033,687437123399.7596,20606013638.13507
19,2021-01-20,bitcoin_cash,bch,0.0,0.0,0.0
19,2021-01-20,cardano,ada,11583747204.108196,10683887435.214478,1076165466.2094355
19,2021-01-20,ethereum,eth,157929393133.71045,140792699741.37933,9170823962.279585
19,2021-01-20,litecoin,ltc,10174714752.65026,9820313075.743774,290659644.63949937
19,2021-01-20,ripple,xrp,13433997245.77599,13134899987.888165,496765009.6312237
19,2021-01-20,solana,sol,953132372.6214266,928189378.2810155,61716996.980590865
20,2021-01-21,bitcoin,btc,662434464441.264,682546527735.4626,22061026993.375164
20,2021-01-21,bitcoin_cash,bch,0.0,0.0,0.0
20,2021-01-21,cardano,ada,11629239817.496456,10963926667.430113,1021719370.2936488
20,2021-01-21,ethereum,eth,156457140894.28006,144774830838.27216,9036052567.626326
20,2021-01-21,litecoin,ltc,9939300725.297943,9843534603.787645,293082417.38543445
20,2021-01-21,ripple,xrp,13484155008.268003,13067294516.473293,386036085.91160023
20,2021-01-21,solana,sol,973442831.7891594,935577416.3568451,63872205.29279803
21,2021-01-22,bitcoin,btc,575205510268.1292,660468538678.0399,38301133910.33026
21,2021-01-22,bitcoin_cash,bch,0.0,0.0,0.0
21,2021-01-22,cardano,ada,9813434945.822624,10993413999.286362,978078187.029611
21,2021-01-22,ethereum,eth,130713677392.4996,143699601148.58218,10302300662.335
21,2021-01-22,litecoin,ltc,8633410602.199905,9635536869.954556,519052873.4213298
21,2021-01-22,ripple,xrp,12251471331.286976,12892047766.767277,442697887.103676
21,2021-01-22,solana,sol,786986237.3494189,925268881.3265928,81620733.47630402
22,2021-01-23,bitcoin,btc,613271077002.4795,650320847494.3617,40291560814.270905
22,2021-01-23,bitcoin_cash,bch,0.0,0.0,0.0
22,2021-01-23,cardano,ada,10808585450.780878,11187109578.019466,723142251.7882525
22,2021-01-23,ethereum,eth,140271927461.8329,144600970605.64706,9557473883.017303
22,2021-01-23,litecoin,ltc,9151084592.531635,9580345404.641575,550793468.2686
22,2021-01-23,ripple,xrp,12348108563.326498,12833399200.526396,488174394.23056155
22,2021-01-23,solana,sol,870802220.8670269,927564232.1419331,79505073.11891684
23,2021-01-24,bitcoin,btc,596744391345.3533,639189920562.838,43110663750.88132
23,2021-01-24,bitcoin_cash,bch,0.0,0.0,0.0
23,2021-01-24,cardano,ada,10775451797.658688,11158685697.662973,736679227.8314772
23,2021-01-24,ethereum,eth,140773242456.76056,144515860505.57257,9593635823.443407
23,2021-01-24,litecoin,ltc,9138226063.30754,9519449992.464207,575832897.1839765
23,2021-01-24,ripple,xrp,12353173876.273672,12776306702.359348,521407092.3776299
23,2021-01-24,solana,sol,910358037.3778708,928471584.6200581,79227169.77606726
24,2021-01-25,bitcoin,btc,600595408892.1986,628947559762.6608,42447275718.934746
24,2021-01-25,bitcoin_cash,bch,0.0,0.0,0.0
24,2021-01-25,cardano,ada,10907245699.203642,11010560768.399292,651780312.506626
24,2021-01-25,ethereum,eth,158167202909.14236,146812977582.2062,10768406800.028973
24,2021-01-25,litecoin,ltc,9404888749.824127,9503538876.543564,577471954.8295448
24,2021-01-25,ripple,xrp,12456245392.6549,12754502557.396315,532645889.1390322
24,2021-01-25,solana,sol,946423915.3825784,918322075.7055728,69930992.24869558
25,2021-01-26,bitcoin,btc,602517850752.0305,617500503127.2227,35842838996.465576
