,Date,ID,simp_move_avg_market_cap_ror,Symbol,market_cap
33,2022-01-18,litecoin,-0.025337784980968992,ltc,10537942123.49368
32,2022-01-18,ethereum,-0.005744986427529926,eth,383428420242.12994
31,2022-01-18,solana,-0.005364435613215289,sol,44032309573.9257
30,2022-01-18,ripple,-0.004679418436726532,xrp,36467550909.227
29,2022-01-18,bitcoin,-0.001477738579571919,btc,800822650383.9624
37,2022-01-19,cardano,-0.03019734670237482,ada,47247124368.95572
36,2022-01-19,litecoin,-0.01032994871033466,ltc,9850112738.2542
35,2022-01-19,solana,-0.0023451473459878227,sol,44575080930.62185
42,2022-01-30,bitcoin,-0.011556047373158533,btc,722829009646.1814
41,2022-01-30,ethereum,-0.011211607520547829,eth,310059710546.2545
40,2022-01-30,ripple,-0.004255101837058315,xrp,29445353884.42251
39,2022-01-30,litecoin,-0.0028966735295127993,ltc,7699445711.198726
38,2022-01-30,solana,-0.0026674364457680458,sol,30216232718.87756
44,2022-01-31,bitcoin,-0.006472718615317372,btc,719570142321.8397
43,2022-01-31,ethereum,-0.004293451560886509,eth,311602914058.7504
47,2022-02-01,ethereum,-0.013431548689601714,eth,320354563857.1168
46,2022-02-01,solana,-0.011863692592851114,sol,31354693276.844906
45,2022-02-01,bitcoin,-0.006320045864627133,btc,727905398095.9747
52,2022-02-02,solana,-0.022417394403566635,sol,34784263657.23243
51,2022-02-02,ethereum,-0.01881372814683044,eth,334032944115.64844
50,2022-02-02,litecoin,-0.009563436558017837,ltc,8037337457.602423
49,2022-02-02,bitcoin,-0.007094636062454823,btc,736102274236.6057
48,2022-02-02,cardano,-0.005411344682448411,ada,34804039586.978775
56,2022-02-03,solana,-0.012803019351841034,sol,31975373921.89307
55,2022-02-03,ethereum,-0.011748761362299805,eth,321296521004.9529
54,2022-02-03,litecoin,-0.0012758561679061702,ltc,7539796465.25319
53,2022-02-03,bitcoin,-9.546007935919372e-05,btc,700645616423.8325
62,2022-02-04,solana,-0.01687309571334126,sol,31833368519.650078
61,2022-02-04,ethereum,-0.013462059620460376,eth,317503695895.34064
60,2022-02-04,litecoin,-0.004362762520602085,ltc,7666855250.374468
59,2022-02-04,cardano,-0.0011578530482098876,ada,33875277868.73072
58,2022-02-04,ripple,-0.0001555543969160248,xrp,29161275665.801453
