,Date,ID,Symbol,market_cap
0,2021-05-01,cardano,ada,43251677970.27558
1,2021-05-02,cardano,ada,43444753835.5553
2,2021-05-03,cardano,ada,42540495719.34877
3,2021-05-04,cardano,ada,43592074191.2749
4,2021-05-05,cardano,ada,41326027055.914055
5,2021-05-06,cardano,ada,47368113642.07222
6,2021-05-07,cardano,ada,53360219299.96424
7,2021-05-08,cardano,ada,52795204748.10216
8,2021-05-09,cardano,ada,51816643346.55726
9,2021-05-10,cardano,ada,56886811810.61856
10,2021-05-11,cardano,ada,53022907919.888756
11,2021-05-12,cardano,ada,56422785745.776566
12,2021-05-13,cardano,ada,52518502552.04381
13,2021-05-14,cardano,ada,61871354957.58372
14,2021-05-15,cardano,ada,64384940507.746376
15,2021-05-16,cardano,ada,69699933668.58269
16,2021-05-17,cardano,ada,73310457372.5526
17,2021-05-18,cardano,ada,65556125527.3518
18,2021-05-19,cardano,ada,64019956901.87918
19,2021-05-20,cardano,ada,49217494677.799675
20,2021-05-21,cardano,ada,57492844768.25934
21,2021-05-22,cardano,ada,49480611260.99869
22,2021-05-23,cardano,ada,47192676745.010704
23,2021-05-24,cardano,ada,42338798442.81028
24,2021-05-25,cardano,ada,49369920022.31968
25,2021-05-26,cardano,ada,49752398756.771515
26,2021-05-27,cardano,ada,56286220346.17397
27,2021-05-28,cardano,ada,52918832311.84861
28,2021-05-29,cardano,ada,48592867742.133995
29,2021-05-30,cardano,ada,45847843415.41005
30,2021-05-31,cardano,ada,50414535804.046684
31,2021-06-01,cardano,ada,55918127620.81978
32,2021-06-02,cardano,ada,55963404595.855385
33,2021-06-03,cardano,ada,56498220769.12978
34,2021-06-04,cardano,ada,59303621530.36588
35,2021-06-05,cardano,ada,54766548459.83093
36,2021-06-06,cardano,ada,53079740992.93282
37,2021-06-07,cardano,ada,53706185453.487305
38,2021-06-08,cardano,ada,50652944662.73067
39,2021-06-09,cardano,ada,50730179591.30335
40,2021-06-10,cardano,ada,52340455015.04023
41,2021-06-11,cardano,ada,49447857410.75654
42,2021-06-12,cardano,ada,45933166629.68729
43,2021-06-13,cardano,ada,47714205696.99503
44,2021-06-14,cardano,ada,49941414967.86893
45,2021-06-15,cardano,ada,50416308305.58743
46,2021-06-16,cardano,ada,50391529523.78449
47,2021-06-17,cardano,ada,47393590799.99285
48,2021-06-18,cardano,ada,47463238825.42096
49,2021-06-19,cardano,ada,45667095006.09383
50,2021-06-20,cardano,ada,44642873230.46928
51,2021-06-21,cardano,ada,45996656094.16985
52,2021-06-22,cardano,ada,38411041505.36854
53,2021-06-23,cardano,ada,36599473846.52675
54,2021-06-24,cardano,ada,40049997236.55031
55,2021-06-25,cardano,ada,43522679454.58298
56,2021-06-26,cardano,ada,41018597317.67341
57,2021-06-27,cardano,ada,39931840010.70645
58,2021-06-28,cardano,ada,43083374226.38429
59,2021-06-29,cardano,ada,42550282680.16134
60,2021-06-30,cardano,ada,44142782696.44864
