,Date,ID,Symbol,market_cap
0,2022-03-01,litecoin,ltc,7901458519.601742
1,2022-03-02,litecoin,ltc,7843103593.913227
2,2022-03-03,litecoin,ltc,7698431945.950647
3,2022-03-04,litecoin,ltc,7767816407.818805
4,2022-03-05,litecoin,ltc,7056718846.73301
5,2022-03-06,litecoin,ltc,7327755348.714135
6,2022-03-07,litecoin,ltc,7070358997.523902
7,2022-03-08,litecoin,ltc,6886635383.182716
8,2022-03-09,litecoin,ltc,7009788527.35682
9,2022-03-10,litecoin,ltc,7451005933.266934
10,2022-03-11,litecoin,ltc,7151223942.760883
11,2022-03-12,litecoin,ltc,7368811438.412262
12,2022-03-13,litecoin,ltc,7396980914.621293
13,2022-03-14,litecoin,ltc,7115356268.722576
14,2022-03-15,litecoin,ltc,7366162430.490366
15,2022-03-16,litecoin,ltc,7487422510.81002
16,2022-03-17,litecoin,ltc,7629784997.450776
17,2022-03-18,litecoin,ltc,7701640004.112216
18,2022-03-19,litecoin,ltc,7837958962.820096
19,2022-03-20,litecoin,ltc,7969227857.11442
20,2022-03-21,litecoin,ltc,8026900493.94672
21,2022-03-22,litecoin,ltc,8098071474.258086
22,2022-03-23,litecoin,ltc,8564524535.414073
23,2022-03-24,litecoin,ltc,8551817227.793575
24,2022-03-25,litecoin,ltc,8889688945.563856
25,2022-03-26,litecoin,ltc,8673709383.387667
26,2022-03-27,litecoin,ltc,8720005503.92015
27,2022-03-28,litecoin,ltc,9017530687.70228
28,2022-03-29,litecoin,ltc,8946798913.306074
29,2022-03-30,litecoin,ltc,9096209057.769444
30,2022-03-31,litecoin,ltc,9187246632.47704
