,Date,ID,Symbol,market_cap
0,2021-07-01,ripple,xrp,32268800761.051617
1,2021-07-02,ripple,xrp,30647057119.673344
2,2021-07-03,ripple,xrp,30215830565.461456
3,2021-07-04,ripple,xrp,31138455875.288597
4,2021-07-05,ripple,xrp,32159771283.85795
5,2021-07-06,ripple,xrp,30453863819.504448
6,2021-07-07,ripple,xrp,30723093719.801144
7,2021-07-08,ripple,xrp,30147793682.466793
8,2021-07-09,ripple,xrp,28843574198.216454
9,2021-07-10,ripple,xrp,29681644971.035645
10,2021-07-11,ripple,xrp,29048791926.905113
11,2021-07-12,ripple,xrp,29486316673.96478
12,2021-07-13,ripple,xrp,29247980265.760162
13,2021-07-14,ripple,xrp,28670030241.537884
14,2021-07-15,ripple,xrp,28779372130.819828
15,2021-07-16,ripple,xrp,27694734252.607735
16,2021-07-17,ripple,xrp,27201988882.770893
17,2021-07-18,ripple,xrp,27109511265.747284
18,2021-07-19,ripple,xrp,27175846391.033463
19,2021-07-20,ripple,xrp,26075532617.71391
20,2021-07-21,ripple,xrp,24615569713.49713
21,2021-07-22,ripple,xrp,26445756208.820633
22,2021-07-23,ripple,xrp,27517390338.90026
23,2021-07-24,ripple,xrp,28196999500.970444
24,2021-07-25,ripple,xrp,28269947663.60385
25,2021-07-26,ripple,xrp,28326472774.149746
26,2021-07-27,ripple,xrp,28868798734.47323
27,2021-07-28,ripple,xrp,29723719168.358337
28,2021-07-29,ripple,xrp,32852692988.230244
29,2021-07-30,ripple,xrp,34826525034.87061
30,2021-07-31,ripple,xrp,34956569128.79335
31,2021-08-01,ripple,xrp,34822531550.131996
32,2021-08-02,ripple,xrp,33490734955.83339
33,2021-08-03,ripple,xrp,34349676133.534256
34,2021-08-04,ripple,xrp,33218265132.768913
35,2021-08-05,ripple,xrp,33994364798.13678
36,2021-08-06,ripple,xrp,34143817201.28548
37,2021-08-07,ripple,xrp,34633334804.98132
38,2021-08-08,ripple,xrp,37894868456.38714
39,2021-08-09,ripple,xrp,36263438396.09534
40,2021-08-10,ripple,xrp,37583709631.508995
41,2021-08-11,ripple,xrp,39514002150.6668
42,2021-08-12,ripple,xrp,46598977910.73202
43,2021-08-13,ripple,xrp,44736297538.85398
44,2021-08-14,ripple,xrp,50454533105.66228
45,2021-08-15,ripple,xrp,60003066118.75983
46,2021-08-16,ripple,xrp,59584210571.94573
47,2021-08-17,ripple,xrp,55864357102.57856
48,2021-08-18,ripple,xrp,50803400116.72417
49,2021-08-19,ripple,xrp,53716679098.06286
50,2021-08-20,ripple,xrp,54568786813.40489
51,2021-08-21,ripple,xrp,58384958845.834984
52,2021-08-22,ripple,xrp,56683485420.240036
53,2021-08-23,ripple,xrp,57001021097.1346
54,2021-08-24,ripple,xrp,58032501462.3368
55,2021-08-25,ripple,xrp,53731037233.17458
56,2021-08-26,ripple,xrp,54461699709.8884
57,2021-08-27,ripple,xrp,51253633200.265205
58,2021-08-28,ripple,xrp,54816173108.79227
59,2021-08-29,ripple,xrp,53420204731.61571
60,2021-08-30,ripple,xrp,53214009871.00871
61,2021-08-31,ripple,xrp,51552699668.6147
