,Date,ID,Symbol,market_cap
0,2021-01-01,cardano,ada,5664962992.375575
1,2021-01-02,cardano,ada,5459442449.830887
2,2021-01-03,cardano,ada,5541071871.348484
3,2021-01-04,cardano,ada,6478554204.432761
4,2021-01-05,cardano,ada,6776976218.184067
5,2021-01-06,cardano,ada,8086992388.5403805
6,2021-01-07,cardano,ada,10274502269.983538
7,2021-01-08,cardano,ada,9271209679.66398
8,2021-01-09,cardano,ada,9486227623.151382
9,2021-01-10,cardano,ada,10474851603.194075
10,2021-01-11,cardano,ada,9547696166.484125
11,2021-01-12,cardano,ada,8567295374.420918
12,2021-01-13,cardano,ada,8919293654.92031
13,2021-01-14,cardano,ada,9668965191.987007
14,2021-01-15,cardano,ada,9607023622.828886
15,2021-01-16,cardano,ada,9452716399.649153
16,2021-01-17,cardano,ada,10974418960.154127
17,2021-01-18,cardano,ada,11944120204.049417
18,2021-01-19,cardano,ada,11556220463.724558
19,2021-01-20,cardano,ada,11583747204.108196
20,2021-01-21,cardano,ada,11629239817.496456
21,2021-01-22,cardano,ada,9813434945.822624
22,2021-01-23,cardano,ada,10808585450.780878
23,2021-01-24,cardano,ada,10775451797.658688
24,2021-01-25,cardano,ada,10907245699.203642
25,2021-01-26,cardano,ada,10718641448.677244
26,2021-01-27,cardano,ada,10707255441.64569
27,2021-01-28,cardano,ada,9653513519.30118
28,2021-01-29,cardano,ada,10775736944.967438
29,2021-01-30,cardano,ada,10870768823.23515
30,2021-01-31,cardano,ada,11492910452.930855
31,2021-02-01,cardano,ada,11024882710.653038
32,2021-02-02,cardano,ada,12802876639.677765
33,2021-02-03,cardano,ada,13649744225.9608
34,2021-02-04,cardano,ada,14046780963.90513
35,2021-02-05,cardano,ada,14124867498.632465
36,2021-02-06,cardano,ada,17202094510.163548
37,2021-02-07,cardano,ada,19854979470.033638
38,2021-02-08,cardano,ada,20910050886.32516
39,2021-02-09,cardano,ada,21857345265.124405
40,2021-02-10,cardano,ada,22537176367.01823
41,2021-02-11,cardano,ada,29471024411.441452
42,2021-02-12,cardano,ada,29490259208.42937
43,2021-02-13,cardano,ada,29484763500.13651
44,2021-02-14,cardano,ada,28898521927.17186
45,2021-02-15,cardano,ada,27180580246.00645
46,2021-02-16,cardano,ada,27363016264.865456
47,2021-02-17,cardano,ada,27928267753.64383
48,2021-02-18,cardano,ada,28374309990.04283
49,2021-02-19,cardano,ada,29081988032.46847
50,2021-02-20,cardano,ada,29861793769.83866
51,2021-02-21,cardano,ada,35319686744.70111
52,2021-02-22,cardano,ada,35410060966.21958
53,2021-02-23,cardano,ada,35028892675.36006
54,2021-02-24,cardano,ada,30289508304.79003
55,2021-02-25,cardano,ada,33843111261.4633
56,2021-02-26,cardano,ada,35020140015.7137
57,2021-02-27,cardano,ada,39925051371.214134
58,2021-02-28,cardano,ada,42146907598.95325
