,Date,ID,Symbol,market_cap
0,2021-07-01,litecoin,ltc,9639134229.668383
1,2021-07-02,litecoin,ltc,9221651540.863
2,2021-07-03,litecoin,ltc,9099994524.142696
3,2021-07-04,litecoin,ltc,9366084351.379349
4,2021-07-05,litecoin,ltc,9711343306.500273
5,2021-07-06,litecoin,ltc,9239547487.541367
6,2021-07-07,litecoin,ltc,9249441524.38943
7,2021-07-08,litecoin,ltc,9195601167.515974
8,2021-07-09,litecoin,ltc,8825310242.238207
9,2021-07-10,litecoin,ltc,9013459284.3449
10,2021-07-11,litecoin,ltc,8966030305.120094
11,2021-07-12,litecoin,ltc,8957040569.707262
12,2021-07-13,litecoin,ltc,8925932988.91042
13,2021-07-14,litecoin,ltc,8763316594.18586
14,2021-07-15,litecoin,ltc,8758739299.210312
15,2021-07-16,litecoin,ltc,8403184173.191431
16,2021-07-17,litecoin,ltc,8118858100.698688
17,2021-07-18,litecoin,ltc,8023054465.964244
18,2021-07-19,litecoin,ltc,7984291728.186319
19,2021-07-20,litecoin,ltc,7634541204.182109
20,2021-07-21,litecoin,ltc,7197481233.373025
21,2021-07-22,litecoin,ltc,7866951800.433402
22,2021-07-23,litecoin,ltc,8077469395.050521
23,2021-07-24,litecoin,ltc,8286163795.152425
24,2021-07-25,litecoin,ltc,8387276967.407461
25,2021-07-26,litecoin,ltc,8557832144.367151
26,2021-07-27,litecoin,ltc,8741779083.764177
27,2021-07-28,litecoin,ltc,8912475331.991972
28,2021-07-29,litecoin,ltc,9348814420.119675
29,2021-07-30,litecoin,ltc,9450228320.781353
30,2021-07-31,litecoin,ltc,9736551488.51875
31,2021-08-01,litecoin,ltc,9708449336.08721
32,2021-08-02,litecoin,ltc,9358409105.737215
33,2021-08-03,litecoin,ltc,9456946575.707258
34,2021-08-04,litecoin,ltc,9286551471.933895
35,2021-08-05,litecoin,ltc,9551279815.204298
36,2021-08-06,litecoin,ltc,9589445531.089306
37,2021-08-07,litecoin,ltc,9877354742.544098
38,2021-08-08,litecoin,ltc,10406187412.487293
39,2021-08-09,litecoin,ltc,9981346866.47305
40,2021-08-10,litecoin,ltc,11100739090.691969
41,2021-08-11,litecoin,ltc,11034249932.49583
42,2021-08-12,litecoin,ltc,11420751413.639864
43,2021-08-13,litecoin,ltc,11035052205.051607
44,2021-08-14,litecoin,ltc,12256846299.426054
45,2021-08-15,litecoin,ltc,12207380592.269388
46,2021-08-16,litecoin,ltc,12299559504.833681
47,2021-08-17,litecoin,ltc,12044822922.647083
48,2021-08-18,litecoin,ltc,11240770000.472057
49,2021-08-19,litecoin,ltc,11225921789.1516
50,2021-08-20,litecoin,ltc,11509075324.49982
51,2021-08-21,litecoin,ltc,12209613196.349447
52,2021-08-22,litecoin,ltc,12055320164.0744
53,2021-08-23,litecoin,ltc,12396744160.233543
54,2021-08-24,litecoin,ltc,12485977360.203775
55,2021-08-25,litecoin,ltc,11642596607.39695
56,2021-08-26,litecoin,ltc,11883856192.012661
57,2021-08-27,litecoin,ltc,11315773446.110418
58,2021-08-28,litecoin,ltc,11747791807.570658
59,2021-08-29,litecoin,ltc,11724470872.323118
60,2021-08-30,litecoin,ltc,11680959547.858044
61,2021-08-31,litecoin,ltc,11187356992.431515
